n_other,n_self,cutoff_word_global_lm,k_other,k_self,lambda_local,fscore
2,2,10,0.7595863839285723,1.0,0.1,0.8698877133906597
2,2,3,0.7595863839285723,1.0,0.15,0.8697194489061955
2,2,2,0.7595863839285723,1.0,0.25,0.8696446183417684
2,2,1,0.7595863839285723,1.0,0.25,0.8695493152888368
2,2,4,0.7595863839285723,1.0,0.4,0.8693884367988598
2,2,2,0.7595863839285723,1.0,0.4,0.8693776536490478
2,2,3,0.7595863839285723,1.0,0.7,0.8692333592399571
2,2,2,0.7595863839285723,1.0,0.3,0.8692238947468125
2,2,3,0.7595863839285723,1.0,0.2,0.8691410920589675
2,2,3,0.7595863839285723,1.0,0.85,0.8690919981207215
2,2,3,0.7595863839285723,1.0,0.1,0.8690904354303947
2,2,4,0.7595863839285723,1.0,0.3,0.8690131813034376
2,2,1,0.7595863839285723,1.0,0.5,0.8689873335907731
2,2,4,0.7595863839285723,1.0,0.25,0.8688984723932344
2,2,2,0.7595863839285723,1.0,0.35,0.8688726868145339
2,2,9,0.7595863839285723,1.0,0.1,0.8688655003921026
2,2,4,0.7595863839285723,1.0,0.35,0.8687893603030086
2,2,3,0.7595863839285723,1.0,0.8,0.8687676826815588
2,2,6,0.7595863839285723,1.0,0.25,0.8686172465012957
2,2,1,0.7595863839285723,1.0,0.55,0.8685557051593947
2,2,2,0.7595863839285723,1.0,0.2,0.8685125072794333
2,2,4,0.7595863839285723,1.0,0.45,0.8684828498630762
2,2,10,0.7595863839285723,1.0,0.25,0.8684602284565532
2,2,3,0.7595863839285723,1.0,0.75,0.868445236341498
2,2,4,0.7595863839285723,1.0,0.15,0.868347415701202
2,2,10,0.7595863839285723,1.0,0.45,0.868290652329693
2,2,10,0.7595863839285723,1.0,0.2,0.8682661915097513
2,2,9,0.7595863839285723,1.0,0.2,0.8682393947446171
2,2,7,0.7595863839285723,1.0,0.25,0.8682082141497741
2,2,1,0.7595863839285723,1.0,0.15,0.8681936530408295
2,2,1,0.7595863839285723,1.0,0.45,0.8681734537313144
2,2,8,0.7595863839285723,1.0,0.2,0.8681718888997884
2,2,1,0.7595863839285723,1.0,0.4,0.8681509596590955
2,2,7,0.7595863839285723,1.0,0.2,0.868137820668698
2,2,1,0.7595863839285723,1.0,0.3,0.8681105916229326
2,2,9,0.7595863839285723,1.0,0.25,0.8681073400420856
2,2,9,0.7595863839285723,1.0,0.3,0.8680855303191629
2,2,6,0.7595863839285723,1.0,0.2,0.8679635164777328
2,2,6,0.7595863839285723,1.0,0.45,0.867937578560774
2,2,1,0.7595863839285723,1.0,0.35,0.8678857054917712
2,2,3,0.7595863839285723,1.0,0.4,0.8677667924106587
2,2,8,0.7595863839285723,1.0,0.25,0.8677252074443139
2,2,4,0.7595863839285723,1.0,0.2,0.8677191933979856
2,2,2,0.7595863839285723,1.0,0.15,0.8677082293992041
2,2,4,0.7595863839285723,1.0,0.6,0.8676857425537085
2,2,1,0.7595863839285723,1.0,0.2,0.8676467198824299
2,2,3,0.7595863839285723,1.0,0.3,0.8676066480111251
2,2,2,0.7595863839285723,1.0,0.8,0.8676024502667028
2,2,1,0.7595863839285723,1.0,0.6,0.8675495009147797
2,2,5,0.7595863839285723,1.0,0.2,0.8675095348275382
2,2,3,0.7595863839285723,1.0,0.9,0.8674082558089967
2,2,10,0.7595863839285723,1.0,0.3,0.8673334339523997
2,2,8,0.7595863839285723,1.0,0.3,0.8673201756237644
2,2,2,0.7595863839285723,1.0,0.5,0.8672572971964501
2,2,9,0.7595863839285723,1.0,0.35,0.86719933223024
2,2,4,0.7595863839285723,1.0,0.65,0.8671844237081815
2,2,3,0.7595863839285723,1.0,0.25,0.8671805688835413
2,2,5,0.7595863839285723,1.0,0.25,0.8671477040148253
2,2,2,0.7595863839285723,1.0,0.7,0.8668838901532061
2,2,3,0.7595863839285723,1.0,0.45,0.8668713971813247
2,2,10,0.7595863839285723,1.0,0.35,0.8668699600818537
2,2,4,0.7595863839285723,1.0,0.55,0.8668459578165296
2,2,6,0.7595863839285723,1.0,0.3,0.8668372923032565
2,2,3,0.7595863839285723,1.0,0.5,0.8668045431963497
2,2,10,0.7595863839285723,1.0,0.4,0.8667997741372135
2,2,7,0.7595863839285723,1.0,0.3,0.8667424109968255
2,2,9,0.7595863839285723,1.0,0.4,0.8667253865125895
2,2,4,0.7595863839285723,1.0,0.7,0.8666681150864403
2,2,4,0.7595863839285723,1.0,0.5,0.8665908266431973
2,2,10,0.7595863839285723,1.0,0.15,0.8665880139341153
2,2,8,0.7595863839285723,1.0,0.1,0.86657700514207
2,2,4,0.7595863839285723,1.0,0.8,0.8665467849600226
2,2,2,0.7595863839285723,1.0,0.55,0.8664947616757379
2,2,6,0.7595863839285723,1.0,0.15,0.8664415924736982
2,2,3,0.7595863839285723,1.0,0.6,0.8664413521818898
2,2,2,0.7595863839285723,1.0,0.45,0.866438793082814
2,2,7,0.7595863839285723,1.0,0.4,0.8663636109102757
2,2,8,0.7595863839285723,1.0,0.35,0.8662324793146391
2,2,3,0.7595863839285723,1.0,0.35,0.8662169208864393
2,2,3,0.7595863839285723,1.0,0.55,0.8661295402407388
2,2,6,0.7595863839285723,1.0,0.5,0.8660634858039752
2,2,2,0.7595863839285723,1.0,0.85,0.8660477683812334
2,2,5,0.7595863839285723,1.0,0.05,0.865964563987044
2,2,2,0.7595863839285723,1.0,0.75,0.865902543085927
2,2,9,0.7595863839285723,1.0,0.45,0.8658908266544046
2,2,7,0.7595863839285723,1.0,0.15,0.8658436010232083
2,2,3,0.7595863839285723,1.0,0.65,0.8658166741377816
2,2,2,0.7595863839285723,1.0,0.65,0.865703842347041
2,2,10,0.7595863839285723,1.0,0.55,0.8656923815008933
2,2,7,0.7595863839285723,1.0,0.45,0.8656605608162078
2,2,5,0.7595863839285723,1.0,0.35,0.8656228022046586
2,2,4,0.7595863839285723,1.0,0.75,0.8656047331184002
2,2,6,0.7595863839285723,1.0,0.4,0.8655896427640405
2,2,7,0.7595863839285723,1.0,0.65,0.8655829720057768
2,2,6,0.7595863839285723,1.0,0.35,0.865535995156752
2,2,5,0.7595863839285723,1.0,0.3,0.865520766745138
2,2,10,0.7595863839285723,1.0,0.5,0.8654980093608277
2,2,6,0.7595863839285723,1.0,0.6,0.8653865333985351
2,2,8,0.7595863839285723,1.0,0.15,0.865352202552223
2,2,5,0.7595863839285723,1.0,0.55,0.8653312509804694
2,2,5,0.7595863839285723,1.0,0.5,0.8653225669092965
2,2,7,0.7595863839285723,1.0,0.35,0.8652953276127068
2,2,2,0.7595863839285723,1.0,0.1,0.8652745432606029
2,2,5,0.7595863839285723,1.0,0.15,0.8652653174063395
2,2,1,0.7595863839285723,1.0,0.1,0.8652542580144976
2,2,6,0.7595863839285723,1.0,0.1,0.8651957799569614
2,2,10,0.7595863839285723,1.0,0.65,0.8650890164643859
2,2,10,0.7595863839285723,1.0,0.6,0.8650430419231568
2,2,7,0.7595863839285723,1.0,0.6,0.8649519049142184
