num_training_pairs,n_other,n_self,cutoff_word_global_lm,k_other,k_self,lambda_local,fscore
5,2,2,5,0.7201751135000012,1.0,0.9,0.8551379613208546
5,2,2,7,0.7201751135000012,1.0,0.05,0.8550810993853403
5,2,2,4,0.7201751135000012,1.0,0.05,0.8550149268504655
5,2,2,6,0.7201751135000012,1.0,0.85,0.8547917790767681
5,2,2,2,0.7201751135000012,1.0,0.9,0.8546599986810225
5,2,2,5,0.7201751135000012,1.0,0.05,0.8546502739434269
5,2,2,8,0.7201751135000012,1.0,0.75,0.8544601533050028
5,2,2,8,0.7201751135000012,1.0,0.05,0.8541875288634964
5,2,2,2,0.7201751135000012,1.0,0.95,0.8540315734086555
5,2,2,6,0.7201751135000012,1.0,0.05,0.8538200432582056
5,2,2,1,0.7201751135000012,1.0,0.95,0.8535362651456619
5,2,2,3,0.7201751135000012,1.0,0.05,0.8534924909079991
5,2,2,9,0.7201751135000012,1.0,0.75,0.8533996052553007
5,2,2,10,0.7201751135000012,1.0,0.8,0.8530994377889921
5,2,2,10,0.7201751135000012,1.0,0.85,0.852992945720573
5,2,2,9,0.7201751135000012,1.0,0.05,0.8527463759038181
5,2,2,6,0.7201751135000012,1.0,0.95,0.8524740279072731
5,2,2,9,0.7201751135000012,1.0,0.85,0.8521574554466208
5,2,2,9,0.7201751135000012,1.0,0.8,0.8520617382444277
5,2,2,8,0.7201751135000012,1.0,0.9,0.8520004808929157
5,2,2,8,0.7201751135000012,1.0,0.85,0.8517807403199001
5,2,2,8,0.7201751135000012,1.0,0.8,0.8517756829929004
5,2,2,4,0.7201751135000012,1.0,1.0,0.8517368966412834
5,2,2,10,0.7201751135000012,1.0,0.9,0.8517250457956804
5,2,2,10,0.7201751135000012,1.0,0.05,0.8516475841767993
5,2,2,7,0.7201751135000012,1.0,0.8,0.8516405529725164
5,2,2,7,0.7201751135000012,1.0,0.85,0.8511627862027104
5,2,2,8,0.7201751135000012,1.0,0.95,0.8510985413688636
5,2,2,9,0.7201751135000012,1.0,0.9,0.8508676979324429
5,2,2,9,0.7201751135000012,1.0,0.95,0.85078023203073
5,2,2,10,0.7201751135000012,1.0,0.95,0.8504286833171891
5,2,2,7,0.7201751135000012,1.0,0.95,0.8501506080642248
5,2,2,6,0.7201751135000012,1.0,1.0,0.8501052926758775
5,2,2,7,0.7201751135000012,1.0,0.9,0.8494520099751643
5,2,2,10,0.7201751135000012,1.0,1.0,0.848487813777424
5,2,2,9,0.7201751135000012,1.0,1.0,0.8477575916557017
5,2,2,5,0.7201751135000012,1.0,1.0,0.8470385728955508
4,2,2,10,0.7987527775000013,1.0,0.2,0.8462617944666999
5,2,2,7,0.7201751135000012,1.0,1.0,0.845659302320427
5,2,2,8,0.7201751135000012,1.0,1.0,0.8455860492858899
4,2,2,9,0.7987527775000013,1.0,0.2,0.8454807816287906
4,2,2,7,0.7987527775000013,1.0,0.15,0.845442904239313
4,2,2,6,0.7987527775000013,1.0,0.15,0.844475348359989
4,2,2,8,0.7987527775000013,1.0,0.15,0.8443413813079408
5,2,2,3,0.7201751135000012,1.0,1.0,0.8442043791585315
4,2,2,5,0.7987527775000013,1.0,0.15,0.8432775604339641
4,2,2,7,0.7987527775000013,1.0,0.2,0.842740555031126
4,2,2,4,0.7987527775000013,1.0,0.1,0.8427238333323779
4,2,2,10,0.7987527775000013,1.0,0.3,0.8425331056428556
4,2,2,10,0.7987527775000013,1.0,0.15,0.8424017980493995
4,2,2,9,0.7987527775000013,1.0,0.15,0.8422329142340496
4,2,2,6,0.7987527775000013,1.0,0.1,0.8422126796944477
4,2,2,10,0.7987527775000013,1.0,0.25,0.8417899507716412
4,2,2,8,0.7987527775000013,1.0,0.25,0.8417574322717816
4,2,2,8,0.7987527775000013,1.0,0.2,0.8417347546301673
4,2,2,6,0.7987527775000013,1.0,0.2,0.8416980709787861
4,2,2,5,0.7987527775000013,1.0,0.1,0.8416006173756037
4,2,2,9,0.7987527775000013,1.0,0.25,0.8413035727869369
4,2,2,7,0.7987527775000013,1.0,0.4,0.8410927631278934
4,2,2,6,0.7987527775000013,1.0,0.35,0.8410366266694541
4,2,2,8,0.7987527775000013,1.0,0.1,0.841024249747539
5,2,2,2,0.7201751135000012,1.0,1.0,0.8408331851201007
4,2,2,10,0.7987527775000013,1.0,0.5,0.8407951578926218
4,2,2,9,0.7987527775000013,1.0,0.3,0.8407603903348705
4,2,2,5,0.7987527775000013,1.0,0.05,0.8407384272730578
4,2,2,6,0.7987527775000013,1.0,0.25,0.8407358505004943
4,2,2,6,0.7987527775000013,1.0,0.05,0.8406331187512012
4,2,2,1,0.7987527775000013,1.0,0.5,0.8406259191183397
4,2,2,10,0.7987527775000013,1.0,0.1,0.8405351433137714
4,2,2,7,0.7987527775000013,1.0,0.35,0.8404916018871786
4,2,2,9,0.7987527775000013,1.0,0.35,0.8404367980320917
4,2,2,1,0.7987527775000013,1.0,0.45,0.840396171085808
4,2,2,10,0.7987527775000013,1.0,0.4,0.8403126175192771
4,2,2,1,0.7987527775000013,1.0,0.35,0.8402976036742429
4,2,2,6,0.7987527775000013,1.0,0.3,0.8401714480095921
4,2,2,10,0.7987527775000013,1.0,0.35,0.8401649159448034
4,2,2,9,0.7987527775000013,1.0,0.1,0.8401519827752689
4,2,2,9,0.7987527775000013,1.0,0.45,0.8401265368776972
4,2,2,1,0.7987527775000013,1.0,0.2,0.8400866808056124
4,2,2,8,0.7987527775000013,1.0,0.4,0.8400546812280008
4,2,2,2,0.7987527775000013,1.0,0.3,0.8400366949199451
4,2,2,9,0.7987527775000013,1.0,0.5,0.8399812514059054
4,2,2,6,0.7987527775000013,1.0,0.4,0.8399351440613054
4,2,2,3,0.7987527775000013,1.0,0.05,0.8399140531197264
4,2,2,7,0.7987527775000013,1.0,0.1,0.8399084724662276
4,2,2,7,0.7987527775000013,1.0,0.45,0.8399043085654371
4,2,2,2,0.7987527775000013,1.0,0.35,0.8398539829361698
4,2,2,7,0.7987527775000013,1.0,0.05,0.8398493586970729
4,2,2,8,0.7987527775000013,1.0,0.45,0.8398464558181792
4,2,2,1,0.7987527775000013,1.0,0.3,0.8398115359300148
4,2,2,3,0.7987527775000013,1.0,0.1,0.8397574428542215
4,2,2,7,0.7987527775000013,1.0,0.25,0.8396974725067264
4,2,2,2,0.7987527775000013,1.0,0.4,0.8396109489453678
4,2,2,1,0.7987527775000013,1.0,0.55,0.8395163507775886
4,2,2,5,0.7987527775000013,1.0,0.2,0.8394420978793027
4,2,2,3,0.7987527775000013,1.0,0.3,0.8393836093186122
4,2,2,9,0.7987527775000013,1.0,0.4,0.8393327977657147
4,2,2,1,0.7987527775000013,1.0,0.4,0.8393054990011279
4,2,2,6,0.7987527775000013,1.0,0.45,0.8392506959344779
4,2,2,8,0.7987527775000013,1.0,0.5,0.8391778777219846
4,2,2,7,0.7987527775000013,1.0,0.3,0.8391231035297532
4,2,2,1,0.7987527775000013,1.0,0.25,0.8391198400992971
4,2,2,1,0.7987527775000013,1.0,0.65,0.8390977607082315
4,2,2,3,0.7987527775000013,1.0,0.4,0.8390915045066983
4,2,2,3,0.7987527775000013,1.0,0.15,0.8390805520188279
4,2,2,10,0.7987527775000013,1.0,0.55,0.8390711793512283
4,2,2,2,0.7987527775000013,1.0,0.15,0.8390361277284267
4,2,2,1,0.7987527775000013,1.0,0.15,0.8390096304033535
4,2,2,8,0.7987527775000013,1.0,0.35,0.8389087232597063
4,2,2,10,0.7987527775000013,1.0,0.45,0.8388735878921506
4,2,2,5,0.7987527775000013,1.0,0.35,0.8388159683531831
4,2,2,8,0.7987527775000013,1.0,0.3,0.8387930781318422
4,2,2,3,0.7987527775000013,1.0,0.25,0.838780626963864
4,2,2,4,0.7987527775000013,1.0,0.15,0.8386529294474903
4,2,2,5,0.7987527775000013,1.0,0.3,0.8386426837016946
