n_other,n_self,cutoff_word_global_lm,k_other,k_self,lambda_local,fscore
1,1,6,0.9,0.1,0.1,0.8655297687938474
1,1,6,0.95,0.1,0.1,0.8653759059327637
1,1,5,1.0,0.05,0.2,0.8650957442056117
1,1,5,0.95,0.05,0.2,0.8650752986545233
1,1,8,1.0,0.1,0.15,0.8650659018091151
1,1,6,1.0,0.1,0.1,0.8650053274158963
1,1,7,1.0,0.1,0.1,0.8649769291036795
1,1,7,1.0,0.05,0.15,0.8648957539192162
1,1,6,0.8,0.1,0.1,0.864541799483022
1,1,6,0.85,0.1,0.1,0.8644791820263096
1,1,7,0.95,0.1,0.1,0.8643966426405216
1,1,2,0.85,0.05,0.05,0.8643718576734336
1,1,5,0.9,0.05,0.2,0.8643057624531519
1,1,8,0.95,0.1,0.1,0.8642851318159531
1,1,4,0.9,0.05,0.15,0.8642824613066112
1,1,4,0.95,0.05,0.15,0.8642824613066112
1,1,5,0.95,0.05,0.15,0.8642240372611215
1,1,5,1.0,0.05,0.15,0.8642175167751941
1,1,3,0.9,0.05,0.15,0.8641641614761463
1,1,10,1.0,0.05,0.2,0.8640394506399274
1,1,6,1.0,0.05,0.2,0.8640350156318998
1,1,9,0.9,0.1,0.15,0.8640106124128006
1,1,9,0.95,0.1,0.15,0.8640106124128006
1,1,4,1.0,0.05,0.15,0.8640003532292838
1,1,7,0.95,0.05,0.15,0.8638944004724376
1,1,4,0.85,0.05,0.2,0.8638761003266531
1,1,9,1.0,0.1,0.15,0.8637718965857948
1,1,6,0.95,0.1,0.05,0.8637655155844496
1,1,8,1.0,0.1,0.1,0.8637559006425246
1,1,6,0.85,0.1,0.05,0.8637352480434978
1,1,4,0.85,0.05,0.15,0.8637346041427565
1,1,4,0.8,0.05,0.15,0.8637251729431671
1,1,6,0.9,0.1,0.05,0.8637165302325227
1,1,10,0.9,0.1,0.15,0.8637146452287581
1,1,10,1.0,0.1,0.15,0.8636704379519132
1,1,5,0.8,0.1,0.1,0.8636635293436664
1,1,10,0.95,0.1,0.15,0.8636622725091557
1,1,3,0.9,0.05,0.1,0.8636553686011104
1,1,4,0.8,0.05,0.1,0.8636301818826277
1,1,9,0.85,0.1,0.15,0.8636080196799766
1,1,4,0.85,0.05,0.1,0.8636039329420073
1,1,3,0.95,0.05,0.15,0.8635980393328214
1,1,3,0.8,0.05,0.15,0.8635820516729782
1,1,8,0.85,0.1,0.15,0.8635522995894299
1,1,3,0.85,0.05,0.15,0.8635450594418856
1,1,10,0.75,0.1,0.15,0.8635429156885808
1,1,8,0.9,0.1,0.15,0.8635160167124427
1,1,7,0.8,0.1,0.1,0.8635132356448038
1,1,10,0.95,0.05,0.2,0.8635015705590332
1,1,5,1.0,0.1,0.1,0.8634857814053787
1,1,10,0.8,0.15,0.1,0.8634591102832504
1,1,7,0.85,0.1,0.1,0.8634477739138534
1,1,10,0.9,0.05,0.2,0.8634431833305289
1,1,9,1.0,0.05,0.15,0.8633699106143188
1,1,7,0.9,0.1,0.1,0.8633545447068044
1,1,9,0.75,0.05,0.15,0.8633542476625712
1,1,4,0.75,0.1,0.1,0.8633337460787497
1,1,9,1.0,0.1,0.1,0.8632655262227937
1,1,7,0.5,0.05,0.15,0.8632592219404723
1,1,5,0.85,0.05,0.2,0.8632526479387435
1,1,5,0.95,0.1,0.1,0.8632412801849364
1,1,5,0.85,0.1,0.1,0.8632375691656977
