n_other,n_self,cutoff_word_global_lm,k_other,k_self,lambda_local,fscore
2,2,1,0.6104678495000011,1.0,0.05,0.8601944520764236
2,2,2,0.6104678495000011,1.0,0.05,0.8600671726811784
2,2,4,0.6104678495000011,1.0,0.05,0.8598627677284595
2,2,6,0.6104678495000011,1.0,0.05,0.8573669382461654
2,2,3,0.6104678495000011,1.0,0.1,0.8564862210158566
2,2,5,0.6104678495000011,1.0,0.05,0.8564019409106692
2,2,10,0.6104678495000011,1.0,0.1,0.8561258211409978
2,2,9,0.6104678495000011,1.0,0.1,0.8560716711565491
2,2,3,0.6104678495000011,1.0,0.05,0.8552516556300687
2,2,7,0.6104678495000011,1.0,0.1,0.8548810462877597
2,2,8,0.6104678495000011,1.0,0.05,0.8545359573071352
2,2,9,0.6104678495000011,1.0,0.05,0.8543319967499349
2,2,10,0.6104678495000011,1.0,0.05,0.8543293196112691
2,2,7,0.6104678495000011,1.0,0.05,0.8539183762687658
2,2,1,0.6104678495000011,1.0,0.0,0.8131622095981351
2,2,2,0.6104678495000011,1.0,0.0,0.8131622095981351
2,2,3,0.6104678495000011,1.0,0.0,0.8131622095981351
2,2,4,0.6104678495000011,1.0,0.0,0.8131622095981351
2,2,5,0.6104678495000011,1.0,0.0,0.8131622095981351
2,2,6,0.6104678495000011,1.0,0.0,0.8131622095981351
2,2,7,0.6104678495000011,1.0,0.0,0.8131622095981351
2,2,8,0.6104678495000011,1.0,0.0,0.8131622095981351
2,2,9,0.6104678495000011,1.0,0.0,0.8131622095981351
2,2,10,0.6104678495000011,1.0,0.0,0.8131622095981351
