n_other,n_self,cutoff_word_global_lm,k_other,k_self,lambda_local,fscore
2,2,2,0.7595863839285723,1.0,0.1,0.8513856875279758
2,2,1,0.7595863839285723,1.0,0.1,0.8505254178322179
2,2,10,0.7595863839285723,1.0,0.05,0.8502447323022698
2,2,8,0.7595863839285723,1.0,0.05,0.8497409982513743
2,2,3,0.7595863839285723,1.0,0.15,0.8491092098427961
2,2,9,0.7595863839285723,1.0,0.05,0.8485943562345734
2,2,7,0.7595863839285723,1.0,0.05,0.8479882928900893
2,2,3,0.7595863839285723,1.0,0.1,0.8474957671594346
2,2,4,0.7595863839285723,1.0,0.05,0.8467315833677552
2,2,1,0.7595863839285723,1.0,0.05,0.8463396922839627
2,2,3,0.7595863839285723,1.0,0.05,0.8461407829148538
2,2,6,0.7595863839285723,1.0,0.05,0.8461179627494148
2,2,5,0.7595863839285723,1.0,0.05,0.8461000820953822
2,2,2,0.7595863839285723,1.0,0.05,0.8460200491708638
2,2,9,0.7595863839285723,1.0,0.0,0.7841205045592204
2,2,4,0.7595863839285723,1.0,0.0,0.7840366536275434
2,2,7,0.7595863839285723,1.0,0.0,0.7837148631219957
2,2,6,0.7595863839285723,1.0,0.0,0.7835012893902142
2,2,8,0.7595863839285723,1.0,0.0,0.7835012893902142
2,2,5,0.7595863839285723,1.0,0.0,0.7834853121062805
2,2,10,0.7595863839285723,1.0,0.0,0.7834742311731286
2,2,3,0.7595863839285723,1.0,0.0,0.7834464424088772
2,2,1,0.7595863839285723,1.0,0.0,0.7833784298637295
2,2,2,0.7595863839285723,1.0,0.0,0.7830820347318291
