n_other,n_self,cutoff_word_global_lm,k_other,k_self,lambda_local,fscore
2,2,10,0.7595863839285723,1.0,0.1,0.8698877133906597
2,2,3,0.7595863839285723,1.0,0.15,0.8697194489061955
2,2,2,0.7595863839285723,1.0,0.25,0.8696446183417684
2,2,3,0.7595863839285723,1.0,0.1,0.8690904354303947
2,2,9,0.7595863839285723,1.0,0.1,0.8688655003921026
2,2,6,0.7595863839285723,1.0,0.25,0.8686172465012957
2,2,2,0.7595863839285723,1.0,0.2,0.8685125072794333
2,2,4,0.7595863839285723,1.0,0.15,0.868347415701202
2,2,1,0.7595863839285723,1.0,0.15,0.8681936530408295
2,2,6,0.7595863839285723,1.0,0.2,0.8679635164777328
2,2,2,0.7595863839285723,1.0,0.15,0.8677082293992041
2,2,8,0.7595863839285723,1.0,0.1,0.86657700514207
2,2,6,0.7595863839285723,1.0,0.15,0.8664415924736982
2,2,5,0.7595863839285723,1.0,0.05,0.865964563987044
2,2,2,0.7595863839285723,1.0,0.1,0.8652745432606029
2,2,1,0.7595863839285723,1.0,0.1,0.8652542580144976
2,2,6,0.7595863839285723,1.0,0.1,0.8651957799569614
2,2,4,0.7595863839285723,1.0,0.1,0.8643653243618667
2,2,8,0.7595863839285723,1.0,0.05,0.8640230319902871
2,2,6,0.7595863839285723,1.0,0.05,0.8639899437356036
2,2,7,0.7595863839285723,1.0,0.05,0.863446961927055
2,2,1,0.7595863839285723,1.0,0.05,0.8630133759193067
2,2,4,0.7595863839285723,1.0,0.05,0.8629881810160195
2,2,2,0.7595863839285723,1.0,0.05,0.8626508588197336
2,2,3,0.7595863839285723,1.0,0.05,0.8616680086131895
2,2,9,0.7595863839285723,1.0,0.05,0.8613720189633991
2,2,10,0.7595863839285723,1.0,0.05,0.8606619717591365
2,2,1,0.7595863839285723,1.0,0.0,0.8038383776848408
2,2,2,0.7595863839285723,1.0,0.0,0.8038383776848408
2,2,3,0.7595863839285723,1.0,0.0,0.8038383776848408
2,2,4,0.7595863839285723,1.0,0.0,0.8038383776848408
2,2,5,0.7595863839285723,1.0,0.0,0.8038383776848408
2,2,6,0.7595863839285723,1.0,0.0,0.8038383776848408
2,2,7,0.7595863839285723,1.0,0.0,0.8038383776848408
2,2,8,0.7595863839285723,1.0,0.0,0.8038383776848408
2,2,9,0.7595863839285723,1.0,0.0,0.8038383776848408
2,2,10,0.7595863839285723,1.0,0.0,0.8038383776848408
