num_pairs,n_other,n_self,cutoff_word_global_lm,k_other,k_self,lambda_local,fscore
1,1,1,6,0.75,0.1,0.2,0.7714864315604889
1,1,1,10,0.35,0.1,0.2,0.7714058489395186
1,1,1,9,0.9,0.1,0.2,0.7713544161125709
1,1,1,1,0.4,0.1,0.05,0.7712991163079944
1,1,1,8,0.55,0.1,0.15,0.7712145707394116
1,1,1,6,0.15,0.1,0.05,0.7711946743567636
1,1,1,8,0.45,0.1,0.15,0.7711756719788607
1,1,1,8,0.5,0.1,0.15,0.7711717212741301
1,1,1,9,0.95,0.1,0.25,0.7711323086928573
1,1,1,6,1.0,0.1,0.3,0.7711041062024703
1,1,1,10,0.5,0.1,0.15,0.7710551908107337
1,1,1,7,0.15,0.1,0.05,0.7710437127576878
1,1,1,6,0.45,0.1,0.2,0.7709779520633917
1,1,1,4,0.45,0.1,0.1,0.7709320343990155
1,1,1,6,0.4,0.1,0.1,0.7709206151619352
1,1,1,1,0.35,0.1,0.05,0.7707901750163778
1,1,1,10,1.0,0.1,0.25,0.7707357318596382
1,1,1,6,0.85,0.1,0.3,0.7707007938642466
1,1,1,1,0.1,0.1,0.05,0.7706861254513059
1,1,1,7,0.25,0.1,0.1,0.7706061722560367
1,1,1,5,1.0,0.1,0.25,0.7705662455972931
1,1,1,4,0.4,0.1,0.1,0.7705551287079403
1,1,1,10,0.65,0.1,0.15,0.7705397373610704
1,1,1,1,0.45,0.1,0.05,0.7704859061778343
1,1,1,8,0.15,0.1,0.05,0.7704464311463136
1,1,1,1,0.5,0.1,0.05,0.7704258542768528
1,1,1,10,0.45,0.1,0.15,0.7704171592665114
1,1,1,7,0.35,0.1,0.15,0.7703655779189427
1,1,1,10,0.55,0.1,0.15,0.7703567404492638
1,1,1,9,0.65,0.1,0.05,0.7703217419090297
1,1,1,3,0.95,0.1,0.2,0.7703151328993896
1,1,1,4,0.95,0.1,0.25,0.7702452893503898
1,1,1,6,0.95,0.1,0.3,0.7702304218678909
1,1,1,9,0.95,0.1,0.2,0.7702245542150891
1,1,1,2,0.45,0.1,0.05,0.7702086121467765
1,1,1,4,1.0,0.1,0.25,0.7702035937608471
1,1,1,4,0.85,0.1,0.3,0.770169842923649
1,1,1,9,0.45,0.1,0.15,0.7701502232665455
1,1,1,2,0.5,0.1,0.05,0.7701372433066176
1,1,1,6,0.25,0.1,0.05,0.7701291487698835
1,1,1,7,0.5,0.1,0.2,0.7701163382076966
1,1,1,8,1.0,0.1,0.25,0.7701128930047798
1,1,1,6,0.35,0.1,0.05,0.7700881337169869
1,1,1,6,0.9,0.1,0.3,0.7700770468167264
1,1,1,10,0.6,0.1,0.15,0.770026689419745
1,1,1,8,0.4,0.1,0.15,0.7700021298160556
1,1,1,6,0.3,0.1,0.05,0.7700017060218204
1,1,1,8,0.95,0.1,0.25,0.7700012230739041
1,1,1,6,0.85,0.1,0.25,0.769991614034421
1,1,1,3,1.0,0.1,0.2,0.7698335869770313
1,1,1,5,0.5,0.1,0.3,0.7697637292821584
1,1,1,6,0.5,0.1,0.15,0.7697631344425283
1,1,1,4,0.35,0.1,0.1,0.7696839164106066
1,1,1,3,0.3,0.1,0.05,0.7696789748176165
1,1,1,9,0.15,0.1,0.05,0.7696589074230394
1,1,1,7,0.2,0.1,0.05,0.7696365039833634
1,1,1,5,0.6,0.1,0.05,0.7696165271957235
1,1,1,3,0.9,0.1,0.2,0.7695739365542366
1,1,1,4,0.85,0.1,0.25,0.7695464240954271
1,1,1,10,0.35,0.1,0.15,0.7695231320057271
1,1,1,7,0.5,0.1,0.15,0.7695206167588905
1,1,1,6,0.9,0.1,0.25,0.7694390730846344
1,1,1,7,0.45,0.1,0.2,0.7694051229242777
1,1,1,7,0.9,0.1,0.3,0.7693647225725568
1,1,1,9,0.35,0.1,0.1,0.7693563974289291
1,1,1,4,0.9,0.1,0.25,0.7692870267086216
1,1,1,5,0.5,0.1,0.25,0.7692841696836769
1,1,1,4,0.3,0.1,0.05,0.7692563773209209
1,1,1,5,0.5,0.1,0.2,0.7692339305462151
1,1,1,8,0.7,0.1,0.05,0.7692309217022621
1,1,1,7,0.55,0.1,0.15,0.7692105891711148
1,1,1,9,1.0,0.1,0.2,0.7691953764197386
1,1,1,9,0.4,0.1,0.1,0.769189365884819
1,1,1,8,0.3,0.1,0.1,0.7691238337358388
1,1,1,10,0.15,0.1,0.05,0.7691233918143343
1,1,1,4,0.85,0.1,0.2,0.7690760875979578
1,1,1,2,0.75,0.1,0.15,0.7690567066405138
1,1,1,8,0.4,0.1,0.1,0.7690377650677634
1,1,1,5,0.45,0.1,0.2,0.769011029187911
1,1,1,10,0.3,0.1,0.1,0.7690069171996917
1,1,1,6,0.45,0.1,0.15,0.768972289483938
1,1,1,10,0.35,0.1,0.1,0.7689625317616324
1,1,1,5,1.0,0.1,0.2,0.7689441224727983
1,1,1,7,0.3,0.1,0.05,0.7689090149246766
1,1,1,8,0.95,0.1,0.2,0.7688691683209931
1,1,1,5,0.35,0.1,0.05,0.7688610007247466
1,1,1,2,0.7,0.1,0.15,0.7688287634261849
1,1,1,10,0.9,0.1,0.2,0.7688093718910267
1,1,1,7,0.9,0.1,0.25,0.7687894073806492
1,1,1,5,0.3,0.1,0.05,0.768747296715338
1,1,1,4,0.75,0.1,0.25,0.7687314645429145
1,1,1,2,0.8,0.1,0.15,0.7687123623744465
1,1,1,7,1.0,0.1,0.25,0.7687069871298571
1,1,1,7,0.35,0.1,0.1,0.7686990292561531
1,1,1,8,1.0,0.1,0.2,0.7686782462967833
1,1,1,9,0.6,0.1,0.05,0.7686706831645508
1,1,1,2,0.05,0.1,0.05,0.7686553570153836
1,1,1,6,0.95,0.1,0.25,0.7686207892604708
1,1,1,4,0.5,0.1,0.1,0.7686122782567261
1,1,1,10,0.4,0.1,0.1,0.7685902887547098
1,1,1,2,0.7,0.1,0.1,0.7685730515525145
1,1,1,7,0.45,0.1,0.15,0.7685506644674646
1,1,1,6,0.6,0.1,0.05,0.7685454802965813
1,1,1,7,0.45,0.1,0.1,0.7685414808770084
1,1,1,2,0.65,0.1,0.1,0.7685191839721909
1,1,1,8,0.25,0.1,0.1,0.7684991440065343
1,1,1,9,0.45,0.1,0.1,0.7684574400308332
1,1,1,9,0.2,0.1,0.05,0.7684343613346687
1,1,1,6,1.0,0.1,0.25,0.7684024939398695
1,1,1,9,0.25,0.1,0.05,0.7683968838805473
1,1,1,7,0.25,0.1,0.05,0.7683646218349862
1,1,1,8,0.35,0.1,0.1,0.7683611635715761
1,1,1,7,0.4,0.1,0.15,0.7683432796372457
1,1,1,7,0.6,0.1,0.05,0.7683330344209404
1,1,1,3,0.85,0.1,0.25,0.7682966779753352
1,1,1,4,0.55,0.1,0.15,0.7682802620883696
1,1,1,8,0.5,0.1,0.1,0.7682766131150124
1,1,1,4,0.25,0.1,0.05,0.7682670664785924
1,1,1,5,0.5,0.1,0.15,0.7681952078681522
1,1,1,3,0.35,0.1,0.15,0.7681874313205564
1,1,1,3,0.5,0.1,0.1,0.7681361052886154
1,1,1,4,0.75,0.1,0.2,0.7681016642743711
1,1,1,3,0.35,0.1,0.1,0.7680879930449562
1,1,1,1,0.7,0.1,0.2,0.7680759699811937
1,1,1,2,0.6,0.1,0.1,0.7680098895501025
1,1,1,4,0.6,0.1,0.05,0.7680089892952494
1,1,1,8,0.2,0.1,0.05,0.7679771034193005
1,1,1,8,0.45,0.1,0.1,0.7678993076487524
1,1,1,7,0.4,0.1,0.1,0.7678865598162965
1,1,1,5,0.4,0.1,0.05,0.7678290851327568
1,1,1,9,0.75,0.1,0.15,0.7678194859949254
1,1,1,7,0.9,0.1,0.2,0.7678073722674139
1,1,1,7,0.95,0.1,0.2,0.7677832231251581
1,1,1,3,0.35,0.1,0.05,0.7677682580897941
1,1,1,8,0.6,0.1,0.05,0.7677560188672565
1,1,1,6,0.85,0.1,0.2,0.7677189858812229
1,1,1,5,0.5,0.1,0.1,0.7676689288832729
1,1,1,9,0.7,0.1,0.05,0.7676096589808438
1,1,1,1,0.05,0.1,0.05,0.7675886803866169
1,1,1,10,0.7,0.1,0.15,0.7675446876360837
1,1,1,7,0.7,0.1,0.05,0.7675327254869888
1,1,1,1,0.65,0.1,0.1,0.767482107852391
1,1,1,8,0.3,0.1,0.05,0.7674805012894652
1,1,1,10,0.75,0.1,0.15,0.7674735119635804
1,1,1,5,0.25,0.1,0.05,0.7674633507635272
1,1,1,7,0.35,0.1,0.05,0.7674468537509804
1,1,1,5,0.2,0.1,0.05,0.7674406381564987
1,1,1,7,0.5,0.1,0.1,0.7673775777613514
1,1,1,3,0.45,0.1,0.1,0.7673631940482117
1,1,1,3,0.75,0.1,0.2,0.7673574396660493
1,1,1,6,0.4,0.1,0.05,0.7673556699332199
1,1,1,10,0.45,0.1,0.1,0.7673470045326084
1,1,1,5,0.45,0.1,0.15,0.7672904332704159
1,1,1,9,0.3,0.1,0.1,0.7672337682430975
1,1,1,5,0.45,0.1,0.1,0.7672306705572378
1,1,1,1,0.6,0.1,0.1,0.7672200968090271
1,1,1,5,0.55,0.1,0.05,0.7672147960034094
1,1,1,10,0.2,0.1,0.05,0.7672125040576161
1,1,1,7,0.65,0.1,0.05,0.7672120154129835
1,1,1,4,0.35,0.1,0.05,0.7671951153693791
1,1,1,10,0.25,0.1,0.05,0.7671545751239196
1,1,1,3,0.55,0.1,0.05,0.767154042913617
1,1,1,5,0.45,0.1,0.05,0.7670793771692559
1,1,1,8,0.25,0.1,0.05,0.7670677109010128
1,1,1,3,0.7,0.1,0.15,0.7670603926429873
