num_pairs,n_other,n_self,cutoff_word_global_lm,k_other,k_self,lambda_local,fscore
4,1,1,6,1.0,0.1,0.05,0.8668725587988348
4,1,1,6,0.95,0.1,0.05,0.8660620479550278
4,1,1,8,1.0,0.1,0.05,0.865625129297022
4,1,1,7,1.0,0.1,0.05,0.8652337143352838
4,1,1,10,1.0,0.1,0.05,0.865005250309961
4,1,1,9,0.95,0.1,0.05,0.8646134227003758
4,1,1,5,1.0,0.1,0.05,0.8644478742497748
4,1,1,5,0.95,0.1,0.05,0.864431843978017
4,1,1,10,0.85,0.1,0.05,0.8642148815154537
4,1,1,5,0.9,0.1,0.05,0.8640839518988817
4,1,1,10,0.95,0.1,0.05,0.8640817352427407
4,1,1,9,1.0,0.1,0.05,0.8639837865946074
4,1,1,8,0.9,0.1,0.05,0.863977116187219
4,1,1,8,0.95,0.1,0.05,0.863977116187219
4,1,1,10,0.9,0.1,0.05,0.8639583395854938
4,1,1,9,0.9,0.1,0.05,0.8638174603488326
4,1,1,7,0.95,0.1,0.05,0.8637301687434974
4,1,1,6,0.5,0.1,0.3,0.8636915234291418
4,1,1,7,0.9,0.1,0.05,0.8635933668562211
4,1,1,6,0.9,0.1,0.05,0.8632194420082632
4,1,1,4,1.0,0.1,0.05,0.8632191959690964
4,1,1,9,0.85,0.1,0.05,0.8630790892534914
4,1,1,4,0.95,0.1,0.05,0.8630260198035355
4,1,1,3,0.9,0.1,0.05,0.8623734285448871
4,1,1,3,1.0,0.1,0.05,0.8622936052626977
4,1,1,5,0.85,0.1,0.05,0.862184045082812
4,1,1,5,0.8,0.1,0.05,0.8618980036059221
4,1,1,3,0.85,0.1,0.05,0.8617811393450507
4,1,1,3,0.95,0.1,0.05,0.8616752747665753
4,1,1,2,1.0,0.1,0.05,0.8616322731020085
4,1,1,6,0.75,0.1,0.05,0.861577516543575
4,1,1,9,0.8,0.1,0.05,0.8614400501444995
4,1,1,6,0.5,0.1,0.25,0.8614399100437465
4,1,1,6,0.8,0.1,0.05,0.8614210158889037
4,1,1,4,0.5,0.1,0.3,0.8613827211676371
4,1,1,1,0.95,0.1,0.05,0.8613468385185321
4,1,1,1,1.0,0.1,0.05,0.8613468385185321
4,1,1,8,0.85,0.1,0.05,0.8613081335424362
5,1,1,7,0.65,0.1,0.4,0.8611152986651178
4,1,1,2,0.95,0.1,0.05,0.8610159998180661
4,1,1,8,0.75,0.1,0.05,0.8607533988039565
5,1,1,6,0.9,0.1,0.4,0.8607307154716389
4,1,1,8,0.8,0.1,0.05,0.8607154978654641
5,1,1,7,0.65,0.1,0.35,0.8606360643577197
5,1,1,6,0.9,0.1,0.35,0.8604902847879012
4,1,1,6,0.85,0.1,0.05,0.8604533045309578
4,1,1,10,0.8,0.1,0.05,0.8603822367784245
5,1,1,9,0.65,0.1,0.5,0.8602448796876585
4,1,1,4,0.5,0.1,0.25,0.8602385010893698
5,1,1,6,0.9,0.1,0.3,0.8601963543329153
5,1,1,7,0.65,0.1,0.3,0.8601775596385748
4,1,1,4,0.9,0.1,0.05,0.8601538679694116
5,1,1,8,0.65,0.1,0.3,0.8601086094197378
4,1,1,2,0.9,0.1,0.05,0.8600798495921576
4,1,1,9,0.6,0.1,0.05,0.860056252812291
5,1,1,9,0.65,0.1,0.45,0.8600166257570502
5,1,1,6,0.9,0.1,0.25,0.8600141780254581
4,1,1,1,0.8,0.1,0.05,0.8599531509553969
4,1,1,2,0.8,0.1,0.05,0.8599531509553969
4,1,1,1,0.85,0.1,0.05,0.8599531509553969
4,1,1,2,0.85,0.1,0.05,0.8599531509553969
4,1,1,1,0.75,0.1,0.05,0.8598423295514902
4,1,1,10,0.65,0.1,0.05,0.8598154518152576
4,1,1,2,0.75,0.1,0.05,0.8598114832894066
4,1,1,9,0.65,0.1,0.05,0.8598079756084005
5,1,1,9,0.65,0.1,0.4,0.8597973157119355
4,1,1,10,0.6,0.1,0.05,0.8597530736476162
4,1,1,10,0.75,0.1,0.05,0.8597525404673101
4,1,1,10,0.55,0.1,0.05,0.8597294725799489
5,1,1,6,0.9,0.1,0.2,0.8596780136568379
4,1,1,9,0.75,0.1,0.05,0.8596557423866846
4,1,1,1,0.9,0.1,0.05,0.8596362197570804
4,1,1,6,0.7,0.1,0.05,0.8595779727780126
4,1,1,9,0.7,0.1,0.05,0.8595137846259417
4,1,1,10,0.7,0.1,0.05,0.8595137846259417
5,1,1,9,0.65,0.1,0.35,0.8593431036925804
4,1,1,4,0.5,0.1,0.2,0.859263246084365
4,1,1,3,0.5,0.1,0.25,0.8592535003044748
4,1,1,7,0.75,0.1,0.05,0.8592401642998302
4,1,1,3,0.75,0.1,0.05,0.8591864780671173
4,1,1,3,0.8,0.1,0.05,0.8591864780671173
4,1,1,10,0.5,0.1,0.05,0.8591417797834648
5,1,1,6,0.75,0.1,0.25,0.8591295781028725
4,1,1,3,0.5,0.1,0.2,0.8590522558827921
4,1,1,7,0.85,0.1,0.05,0.8590095243861459
